Stock Run SSB F Yield SPR Recruit 
EBS_SKATE std 2.6746e+06 0.0 0.0 1.0 442413
EBS_SKATE std 2.6746e+06 0 0 1 442413
EBS_SKATE std 2.34598e+06 0.01 83062 0.87728 442339
EBS_SKATE std 2.06886e+06 0.02 152059 0.773792 442258
EBS_SKATE std 1.8332e+06 0.03 209778 0.685788 442170
EBS_SKATE std 1.63131e+06 0.04 258349 0.610397 442074
EBS_SKATE std 1.45724e+06 0.05 299424 0.545391 441970
EBS_SKATE std 1.30627e+06 0.06 334300 0.489013 441858
EBS_SKATE std 1.17465e+06 0.07 364012 0.439861 441736
EBS_SKATE std 1.05936e+06 0.08 389389 0.396806 441605
EBS_SKATE std 957934 0.09 411104 0.358931 441464
EBS_SKATE std 868362 0.1 429708 0.325481 441311
EBS_SKATE std 788969 0.11 445657 0.295833 441148
EBS_SKATE std 718367 0.12 459327 0.269467 440972
EBS_SKATE std 655388 0.13 471033 0.245948 440783
EBS_SKATE std 599049 0.14 481039 0.224909 440581
EBS_SKATE std 548516 0.15 489570 0.206038 440364
EBS_SKATE std 503078 0.16 496815 0.189069 440133
EBS_SKATE std 462125 0.17 502936 0.173776 439885
EBS_SKATE std 425136 0.18 508071 0.159963 439621
EBS_SKATE std 391655 0.19 512338 0.14746 439339
EBS_SKATE std 361293 0.2 515841 0.136122 439039
EBS_SKATE std 333707 0.21 518667 0.12582 438719
EBS_SKATE std 308601 0.22 520893 0.116444 438378
EBS_SKATE std 285712 0.23 522587 0.107896 438017
EBS_SKATE std 264812 0.24 523805 0.100092 437632
EBS_SKATE std 245699 0.25 524600 0.0929542 437224
EBS_SKATE std 228196 0.26 525014 0.0864177 436792
EBS_SKATE std 212144 0.27 525088 0.0804234 436333
EBS_SKATE std 197404 0.28 524854 0.0749188 435847
EBS_SKATE std 183851 0.29 524344 0.0698577 435333
EBS_SKATE std 171375 0.3 523583 0.0651986 434789
EBS_SKATE std 159876 0.31 522594 0.0609046 434214
EBS_SKATE std 149267 0.32 521398 0.0569425 433607
EBS_SKATE std 139467 0.33 520014 0.0532828 432965
EBS_SKATE std 130405 0.34 518455 0.0498988 432288
EBS_SKATE std 122017 0.35 516738 0.0467665 431575
EBS_SKATE std 114246 0.36 514873 0.0438644 430822
EBS_SKATE std 107039 0.37 512872 0.0411731 430030
EBS_SKATE std 100349 0.38 510743 0.0386748 429196
EBS_SKATE std 94133.8 0.39 508496 0.0363538 428318
EBS_SKATE std 88354.3 0.4 506138 0.0341955 427395
EBS_SKATE std 82975.6 0.41 503673 0.0321868 426424
EBS_SKATE std 77965.7 0.42 501109 0.030316 425405
EBS_SKATE std 73295.8 0.43 498450 0.028572 424334
EBS_SKATE std 68939.3 0.44 495699 0.0269451 423210
EBS_SKATE std 64872.1 0.45 492860 0.0254263 422031
EBS_SKATE std 61072.3 0.46 489936 0.0240073 420795
EBS_SKATE std 57519.8 0.47 486928 0.0226807 419500
EBS_SKATE std 54196.1 0.48 483840 0.0214395 418142
EBS_SKATE std 51084.5 0.49 480671 0.0202774 416721
EBS_SKATE std 48169.3 0.5 477424 0.0191888 415233
EBS_SKATE std 45436.6 0.51 474099 0.0181683 413677
EBS_SKATE std 42873.1 0.52 470695 0.017211 412049
EBS_SKATE std 40467 0.53 467214 0.0163125 410347
EBS_SKATE std 38207.3 0.54 463655 0.0154686 408569
EBS_SKATE std 36083.7 0.55 460017 0.0146756 406711
EBS_SKATE std 34086.9 0.56 456301 0.0139299 404771
EBS_SKATE std 32208.3 0.57 452504 0.0132283 402747
EBS_SKATE std 30439.9 0.58 448625 0.0125679 400635
EBS_SKATE std 28774.3 0.59 444665 0.0119459 398432
EBS_SKATE std 27204.7 0.6 440620 0.0113598 396135
EBS_SKATE std 25724.8 0.61 436490 0.0108071 393741
EBS_SKATE std 24328.7 0.62 432272 0.0102858 391247
EBS_SKATE std 23011.1 0.63 427965 0.00979376 388650
EBS_SKATE std 21766.9 0.64 423567 0.00932914 385946
EBS_SKATE std 20591.5 0.65 419075 0.00889018 383131
EBS_SKATE std 19480.5 0.66 414487 0.00847529 380203
EBS_SKATE std 18429.9 0.67 409801 0.00808295 377158
EBS_SKATE std 17436 0.68 405014 0.00771178 373991
EBS_SKATE std 16495.2 0.69 400123 0.00736046 370700
EBS_SKATE std 15604.4 0.7 395126 0.00702779 367280
EBS_SKATE std 14760.5 0.71 390020 0.00671264 363728
EBS_SKATE std 13960.7 0.72 384802 0.00641396 360039
EBS_SKATE std 13202.3 0.73 379469 0.00613077 356209
EBS_SKATE std 12483 0.74 374017 0.00586215 352235
EBS_SKATE std 11800.4 0.75 368445 0.00560725 348112
EBS_SKATE std 11152.5 0.76 362747 0.00536528 343834
EBS_SKATE std 10537.1 0.77 356922 0.00513547 339399
EBS_SKATE std 9952.48 0.78 350964 0.00491715 334802
EBS_SKATE std 9396.83 0.79 344872 0.00470965 330037
EBS_SKATE std 8868.53 0.8 338641 0.00451236 325101
EBS_SKATE std 8366.04 0.81 332268 0.00432471 319987
EBS_SKATE std 7887.92 0.82 325748 0.00414616 314692
EBS_SKATE std 7432.83 0.83 319078 0.00397621 309211
EBS_SKATE std 6999.51 0.84 312255 0.00381439 303537
EBS_SKATE std 6586.76 0.85 305273 0.00366026 297667
EBS_SKATE std 6193.48 0.86 298129 0.00351339 291594
EBS_SKATE std 5818.61 0.87 290819 0.0033734 285313
EBS_SKATE std 5461.18 0.88 283339 0.00323992 278819
EBS_SKATE std 5120.26 0.89 275684 0.00311261 272106
EBS_SKATE std 4794.97 0.9 267849 0.00299113 265168
EBS_SKATE std 4484.51 0.91 259832 0.00287519 257999
EBS_SKATE std 4188.1 0.92 251626 0.0027645 250594
EBS_SKATE std 3905.01 0.93 243227 0.00265879 242946
EBS_SKATE std 3634.57 0.94 234632 0.00255779 235049
EBS_SKATE std 3376.13 0.95 225834 0.00246128 226897
EBS_SKATE std 3129.07 0.96 216829 0.00236902 218483
EBS_SKATE std 2892.84 0.97 207613 0.0022808 209801
EBS_SKATE std 2666.88 0.98 198179 0.00219642 200844
EBS_SKATE std 2450.68 0.99 188525 0.00211568 191605
EBS_SKATE std 2243.78 1 178643 0.00203842 182078
EBS_SKATE std 2045.7 1.01 168529 0.00196445 172255
EBS_SKATE std 1856.02 1.02 158178 0.00189361 162130
EBS_SKATE std 1674.34 1.03 147585 0.00182576 151694
EBS_SKATE std 1500.26 1.04 136743 0.00176076 140941
EBS_SKATE std 1333.43 1.05 125648 0.00169846 129863
EBS_SKATE std 1173.5 1.06 114294 0.00163873 118452
EBS_SKATE std 1020.14 1.07 102675 0.00158146 106701
EBS_SKATE std 873.044 1.08 90785.6 0.00152653 94602.1
EBS_SKATE std 731.923 1.09 78620 0.00147383 82146.3
EBS_SKATE std 596.498 1.1 66172.2 0.00142326 69325.9
EBS_SKATE std 466.505 1.11 53436.3 0.00137471 56132.6
EBS_SKATE std 341.697 1.12 40406.3 0.0013281 42557.8
EBS_SKATE std 221.836 1.13 27075.9 0.00128334 28592.9
EBS_SKATE std 106.698 1.14 13439 0.00124035 14229.3
EBS_SKATE std 0 1.15 0 0.00119903 0
EBS_SKATE std 0 1.16 0 0.00115933 0
EBS_SKATE std 0 1.17 0 0.00112116 0
EBS_SKATE std 0 1.18 0 0.00108447 0
EBS_SKATE std 0 1.19 0 0.00104917 0
EBS_SKATE std 0 1.2 0 0.00101522 0
EBS_SKATE std 0 1.21 0 0.000982558 0
EBS_SKATE std 0 1.22 0 0.000951122 0
EBS_SKATE std 0 1.23 0 0.000920861 0
EBS_SKATE std 0 1.24 0 0.000891727 0
EBS_SKATE std 0 1.25 0 0.00086367 0
EBS_SKATE std 0 1.26 0 0.000836645 0
EBS_SKATE std 0 1.27 0 0.000810609 0
EBS_SKATE std 0 1.28 0 0.00078552 0
EBS_SKATE std 0 1.29 0 0.000761339 0
EBS_SKATE std 0 1.3 0 0.000738028 0
EBS_SKATE std 0 1.31 0 0.000715551 0
EBS_SKATE std 0 1.32 0 0.000693875 0
EBS_SKATE std 0 1.33 0 0.000672966 0
EBS_SKATE std 0 1.34 0 0.000652793 0
EBS_SKATE std 0 1.35 0 0.000633327 0
EBS_SKATE std 0 1.36 0 0.00061454 0
EBS_SKATE std 0 1.37 0 0.000596403 0
EBS_SKATE std 0 1.38 0 0.000578892 0
EBS_SKATE std 0 1.39 0 0.000561982 0
EBS_SKATE std 0 1.4 0 0.000545649 0
EBS_SKATE std 0 1.41 0 0.00052987 0
EBS_SKATE std 0 1.42 0 0.000514624 0
